RowType,InstanceId,ComponentType,ComponentName,RELevel,CertificationLevel,ShipClass,Source,Ownership,Armor,Hitpoints,Mass,ReactorEnergyDrain,ReactorGenerationRate,PitchRateMax,YawRateMax,RollRateMax,EngineTopSpeed,FrontShieldHP,BackShieldHP,ShieldRechargeRate,CapacitorEnergy,CapacitorRechargeRate,BoosterEnergy,BoosterRechargeRate,BoosterEnergyConsumption,BoosterAcceleration,TopBoosterSpeed,DroidCommandSpeed,DamageMin,DamageMax,VsShields,VsArmor,EnergyPerShot,RefireRate,Payload
Part,pmqvl9isyci91,Armor,Corellian Engineering Corporation Cheap Durasteel Plating,1,1,,Looted,Observed,155.4,155.4,914.2,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl9qlfe3rd,Armor,Corellian Engineering Corporation Cheap Durasteel Plating,1,1,,Looted,Observed,149.9,149.9,831.9,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl9mu7ddg9,Armor,Kuat Systems Engineering Modified Light Durasteel,2,2,,Looted,Observed,163.8,163.8,1429,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl9u07f6v1,Armor,Corellian Reinforced Supreme Durasteel,9,9,Fighter,Looted,Observed,980.3,930.3,39416.5,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl99eaayw1,Armor,Corellian Engineering Corporation Light Durasteel,2,2,,Looted,Observed,257.7,257,1810.3,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl9dsbbhn6,Armor,SubPro Limited Heavy Plastisteel,7,7,,Looted,Observed,1143.8,1143.8,14084.9,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl95pf9zvu,Armor,SubPro Light Plastisteel Armor,5,5,,Looted,Observed,910.7,910.7,4781.9,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvl90x284r3,Armor,Cygnus Light Armor Weave,2,2,,Looted,Observed,280.5,280.5,1510.2,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53if0gjy,Weapon,Slayn & Korpil Light Ion Cannon,1,1,,Looted,Observed,75.3,75.3,929.6,1949,,,,,,,,,,,,,,,,,286.1,368.2,0.7,0.29,,0.332,
Part,pmqvq53if22o1,Weapon,Republic Sienar Systems Imperial Cannon,5,5,,Looted,Observed,347.2,347.2,7288.5,2057.3,,,,,,,,,,,,,,,,,1053.9,1692.1,0.512,0.512,,0.337,
